Date,Open,High,Low,Close,Volume
9/9/2016,56.6,57.01,55.66,55.66,12349552
9/8/2016,56.63,57.24,56.28,56.81,11571495
9/7/2016,57.02,57.45,56.42,56.57,11719312
9/6/2016,56.69,57.13,56.12,56.96,11710635
9/2/2016,56.93,56.93,55.11,56.35,33971729
9/1/2016,57.6,57.62,56.49,56.76,12873853
8/31/2016,57.37,57.51,56.92,57.39,12533948
8/30/2016,58.97,58.97,57.16,57.24,16800450
8/29/2016,58.89,59.14,58.46,58.76,6573273
8/26/2016,58.76,59.4,58.54,58.77,7845194
8/25/2016,58.59,59.41,58.36,58.76,9116511
8/24/2016,59.8,60,58.4,58.59,13198695
8/23/2016,59.51,60.04,59.3,59.86,10582999
8/22/2016,59.65,59.68,59.01,59.26,11133617
8/19/2016,58.74,59.35,58.53,59.29,12134850
8/18/2016,58.27,59.48,58.26,58.68,14693323
8/17/2016,59.5,59.52,58.07,58.3,21007446
8/16/2016,60.02,60.39,59.3,59.41,13273714
8/15/2016,60.74,60.86,60.01,60.03,12142914
8/12/2016,61.23,61.3,60.61,60.63,9376495
8/11/2016,60.7,61.13,60.25,60.97,14576344
8/10/2016,61.77,61.83,60.5,60.58,14455087
8/9/2016,60.65,62.25,60.57,61.61,25005611
8/8/2016,63.5,63.65,60,60.3,60132826
8/5/2016,62,64.77,61.56,63.28,86212615
8/4/2016,74.96,75.62,74.57,75.32,3474924
8/3/2016,74.93,75.06,74.25,74.8,4349626
8/2/2016,76.02,76.07,74.71,75.05,4479810
8/1/2016,75.13,76.3,74.89,76.19,5081858
7/29/2016,74.57,75.16,74.22,74.81,4861139
7/28/2016,75.41,76.48,74.5,74.66,7412612
7/27/2016,75.2,76.8,75.01,76.47,5542648
7/26/2016,75.78,75.87,74.88,75.06,3826419
7/25/2016,75.7,75.75,75.07,75.56,3988974
7/22/2016,75.5,75.98,75,75.68,5276211
7/21/2016,75.61,76.08,75.15,75.5,3420459
7/20/2016,75.71,76.04,75.54,75.72,3949784
7/19/2016,75.9,76.19,75.43,75.47,3693247
7/18/2016,76.27,76.36,75.62,75.96,3794127
7/15/2016,77.11,77.12,75.08,76,7523623
7/14/2016,76.79,76.92,76.29,76.77,4352625
7/13/2016,76.69,76.89,76.1,76.58,4651040
7/12/2016,75.48,76.55,75.48,76.2,5935551
7/11/2016,75.3,75.84,75.03,75.39,5277992
7/8/2016,74.29,75.72,74,75.28,5428134
7/7/2016,73.85,74.15,73.63,74.08,4056693
7/6/2016,74.01,74.06,72.87,73.86,6517612
7/5/2016,73.75,74.19,73.29,73.78,4255906
7/1/2016,73.66,74.16,73.34,73.78,3123075
6/30/2016,73.1,73.75,72.71,73.55,5763885
6/29/2016,72.12,73.17,71.96,73,6539785
6/28/2016,70.95,72.08,70.67,72.01,7066389
6/27/2016,70.39,71.13,70.09,70.32,7477388
6/24/2016,70.75,71.85,70.53,70.61,7414129
6/23/2016,72.86,72.91,72.15,72.64,5624535
6/22/2016,71.25,73.44,71.22,72.31,8093816
6/21/2016,71.16,71.5,70.36,71.25,6450861
6/20/2016,71.33,71.75,70.96,70.96,5165827
6/17/2016,72,72,70.13,70.67,15007684
6/16/2016,72.35,72.52,70.77,71.73,10778234
6/15/2016,73.25,73.76,72.49,72.57,5390075
6/14/2016,72.22,73.15,72.16,73.1,4691859
6/13/2016,72.67,73.17,72,72.22,4726820
6/10/2016,72.5,72.98,72.18,72.65,5007081
6/9/2016,73.37,73.71,72.64,72.73,5693650